Boiler Load (MW),Inlet NOx (mg/m³),Inlet O₂ (%),Flue Gas Flow (m³/h),NH₃ Flow (kg/h),Flue Gas Temp (°C),Coal Feed Rate (t/h),NOx Emission (mg/m³)
740.2972547,314.8500083,210.5478038,85.80739475,4.393133589,353.3328583,1295.458836,36.95513859
740.2973363,316.030176,227.3609054,92.0298663,4.58951485,353.3098581,1298.994795,40.53979046
740.6402742,317.5698021,241.2121149,96.09587671,4.790919188,353.2868584,1296.155984,43.67878022
740.1246521,319.3718426,249.4762617,99.54967065,4.981890739,353.2638586,1304.559543,44.84582847
740.6404453,320.9678326,254.0704679,100.5894495,5.081432275,353.2408586,1307.041749,46.84855739
740.4678527,322.1752857,259.2102698,100.0262447,5.116208156,353.1950585,1303.044535,49.16747892
740.4687889,323.2490852,262.252248,99.96412006,5.136375705,353.1722588,1308.885398,49.22950352
740.2973022,323.9082052,261.8115296,100.2323241,5.127244486,353.149459,1307.572279,48.85662459
740.6403856,323.9308205,263.6586246,99.91105214,5.114135448,353.126659,1307.589092,50.26328337
740.46788,324.0664266,271.8486747,99.41339506,5.163831885,353.0810589,1312.868063,51.57077931
740.6393123,324.3011924,277.3360766,99.36255783,5.248169192,353.0582591,1311.995745,51.27883449
740.6395464,324.2480719,281.7508531,99.89115712,5.306423134,353.0124592,1307.642285,51.08562433
740.2959455,324.0454507,287.6851992,99.73085751,5.347445623,352.9666595,1315.311757,52.62863997
740.1263279,323.9089495,292.7695152,99.38838386,5.366873995,352.9208597,1307.965653,53.23400686
739.9542857,323.8531938,292.7557674,100.0144895,5.371880213,352.8978597,1316.768089,52.29902426
739.7830057,323.8105006,291.1360911,100.0271443,5.363902134,352.8520596,1317.898767,52.1057918
739.6118674,323.9047638,289.4221099,100.2789584,5.35904085,352.8292599,1323.662368,52.07509466
739.955184,324.1211789,285.7836385,100.0675614,5.334914754,352.7836599,1321.594545,51.56337471
739.9547128,324.1234979,282.6779602,100.2016765,5.306580683,352.7380602,1322.838658,50.6631702
740.1256736,324.2515486,279.137967,100.2691684,5.273094423,352.6694603,1315.434381,49.81502422
740.1251239,324.4022793,275.2613006,100.1046038,5.24497817,352.6236606,1321.954248,49.19825759
739.9536499,324.5451667,272.0795569,99.96938012,5.212067915,352.5778608,1319.464425,48.98480273
739.6116774,324.5475659,268.8284673,100.2123088,5.191540207,352.5320607,1320.041524,47.47168625
739.4412672,324.5993975,263.0545706,100.0544138,5.221098791,352.486261,1318.350378,45.72458807
739.4413453,325.2853812,258.8611396,100.3601122,5.234743125,352.4406611,1316.05677,44.92836798
739.9555242,327.1571336,255.9181314,99.77854232,5.227386266,352.3950613,1317.613458,43.7226059
740.4679591,330.108436,250.430557,99.97300157,5.24709766,352.3264614,1328.328878,41.84957347
741.3256362,333.2486546,245.031451,99.85891402,5.219833765,352.2806617,1325.754052,41.20949682
742.3540615,334.1452975,241.6092607,99.9572063,5.166679814,352.2348619,1336.723601,40.39189272
743.3813234,332.7484138,236.7604899,99.574643,5.10604383,352.1890618,1347.044193,38.43574566
743.8938186,330.0338656,231.1144674,99.98467861,5.050137101,352.1432621,1346.549087,37.30333923
744.2356339,325.7127225,228.8105338,100.0008642,4.976514489,352.1204623,1345.542491,37.27677462
744.0648656,320.4378427,227.084659,100.1771022,4.908591985,352.0976623,1351.524138,36.51149907
